# Data from Cooke et al. 2011 (MNRAS 417 1534), retrieved from Figure
# 11 of Becker et al. 2011 (ApJ 744 91) using GraphClick.  See caption
# in Becker for details if something is unclear.
 
# z   [Si/O]  lower-bound  upper-bound
4.430	-0.063  -0.233	0.136
3.681	-0.219	-0.316	-0.102
3.647	-0.008	-0.088	0.091
3.553	0.149	0.114	0.190
3.331	-0.187	-0.282	-0.073
3.108	-0.020	-0.111	0.092
3.016	-0.050	-0.115	0.016
3.013	-0.208	-0.230	-0.182
2.979	-0.159	-0.179	-0.137
2.725	-0.158	-0.199	-0.115
2.742	-0.049	-0.105	0.009
2.774	-0.036	-0.055	-0.023
2.629	0.089	0.036	0.144
2.546	-0.150	-0.162	-0.135
2.435	-0.111	-0.141	-0.071
2.480	-0.036	-0.081	0.005
1.991	-0.220	-0.244	-0.183
2.225	-5.898e-4  -0.062  0.064
2.342	-0.154	-0.234	-0.067
		
