# z	t0	dz-	dz+	dt0-	dt0+
1.958	10.831	-0.205	0.199	-3.255	11.763
2.285	11.978	-0.205	0.194	-1.994	1.628
2.208	13.840	-0.204	0.195	-4.874	5.840
2.495	14.087	-0.202	0.200	-2.670	3.270
2.584	15.927	-0.199	0.206	-1.515	1.564
2.651	22.782	-0.193	0.202	-7.151	1.417
2.835	17.115	-0.206	0.202	-2.864	5.631
2.996	22.557	-0.195	0.202	-3.797	4.474
3.065	19.943	-0.194	0.207	-1.332	1.255
3.229	22.517	-0.199	0.200	-8.555	7.538
3.360	15.243	-0.198	0.199	-1.362	1.744
3.544	10.840	-0.198	0.202	-2.088	3.064
3.718	12.531	-0.199	0.200	-1.779	3.697
3.833	13.080	-0.204	0.202	-2.887	4.445
3.908	15.370	-0.201	0.200	-4.069	4.638
4.304	11.448	-0.201	0.201	-2.169	8.657
